ID,Created,Name,Description,Playlist URL
e090f85b867a4cbf8ed12b6fdc7636c0,2025-12-12T13:08:28Z,New Heat,Post a song that came out in the last 3 months. ,https://open.spotify.com/playlist/5XUqSgXUZnSPDfWVkbsvkn
51c62b66ee574d80b12e759d34a192cd,2025-12-12T20:20:43Z,Spotify Age,Everyone saw their spotify wrapped. I know because we all needed spotify to sign in. So take what your Spotify age is… and go back that many years and pick a song from that year. Mine was 67 (the kids love it I know) so I need to chose a song from 1958. Woof.,https://open.spotify.com/playlist/1fkpyWCwcByavnAnxX7DUB
5325e4622056455d8ab0404eef11fe4b,2025-12-12T13:17:12Z,On the Map (submitted by Spund),"Songs referencing something you’d find on a map in the title (Cities, Roads, Landmarks, etc). Imaginary places are welcome. Funkytown, however, is not @Tim",https://open.spotify.com/playlist/0wTfEOTJlcSHKStPXL7qEi
3f2e9bf02ca2448a9d5a3b76c78a4548,2025-12-12T13:17:26Z,Gezellig (submitted by Zeez!),"Gezellig: a quintessential Dutch word describing a feeling of coziness, conviviality, and togetherness, often in a warm, pleasant atmosphere with good company, encompassing concepts like comfort, friendliness, and enjoyable social connection",https://open.spotify.com/playlist/0e4SKpFnOJXsaiX4O92ybd
f3db9a6a85274b4483914dde08b4f7ce,2025-12-12T13:17:36Z,Oh boy… here comes Mendo and a trip down south….,"For this challenge we're taking a family trip. Bring us something special from our neighbors down south. Cumbia, samba, banda, raggaeton -- whatever gets your hips moving, body sweating and uncharacteristically open to a wild night with Ricardo, your dark, sultry waiter. ",https://open.spotify.com/playlist/4l12OcRrWeZJYthVakkq6L
a76bad086b81442287448689d2112452,2025-12-12T13:17:45Z,Shhhhhh it’s all going to be alright (from Mendo),"A gift for Kenny and Ricky's soon-to-be 2am bottle feedings and to Sam/Brandon and Fluff. Something quiet and wondrous. Songs that say yes, it might be unconscionably selfish to bring a new life into certain environmental and geopolitical catastrophe leading to constant human suffering surely to be exacerbated by the rise of AI and the insatiable greed of our tech overlords, but there are still life affirming glimmers of hope and beauty if you look closely.",https://open.spotify.com/playlist/2q2YIAgBy9xMKHl1Ss1ECa
d9fd674ba147437bb67f2f15b4fd6ef0,2025-12-12T13:19:35Z,The Voice (from disk who gave to kenny),"Submit a song where the vocal performance is the defining force of the track.

This force does not have to be loud or pitch-perfect. It can come from control, phrasing, vulnerability, attitude, tension, restraint, etc. What matters is that the performance feels intentional and irreplaceable. 

Any genre, era, language... belting, delicate, growling... male, female, somewhere in between... whatever!

Doesnt have to just be one person (harmonies/tradeoffs/whatever). The vocal component of the track.",https://open.spotify.com/playlist/7q175xE1mGoBI2vuLVpjWC
f46457fc78804fbe85722d33fed87653,2025-12-12T13:17:52Z,We Shall Overcome (from Rick),Music has always had the power to inspire social change. Pick a protest song that invigorated a movement through both its message and musical quality. ,https://open.spotify.com/playlist/46NOI1R9JlLzvjpqFGL57j
f037c691958b46f79420b9d334aaf398,2025-12-12T13:21:22Z,Planes Trains and Automobiles (from Paug!),"Means of transportation are an integral part of our lives. Musicians have to spend a lot of their time traveling between gigs and I have to assume that gives them inspiration when writing music. Those aren’t pillows! They’re tunes!

Pick a song that includes mention of any type of vehicle in the song name. Instrumental or not. Any genre will do. 

Guaranteed point from me if it’s trains. Choo choo bitches!",https://open.spotify.com/playlist/3VNzjEnOBp2Pno1ASfdNKU
0e7063989e2b441a841c8627ba109f9e,2025-12-12T13:25:22Z,Earworms (Timmy...AGAIN!),We all know a song that just gets stuck in our heads. It might not be good but there’s something about it we can’t forget. We might all hate each other after this round but I don’t care! This playlist might be trash but it will be memorable.,https://open.spotify.com/playlist/0iVOoA4F5y6fNcyqef2Qcy
